column,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_constant,zero_pct,first_non_null_date,last_non_null_date,coverage_span_days,coverage_within_span_pct,example_values,min,p05,p25,median,p75,p95,max,mean,std,inferred_unit,inferred_group,notes,used_in_quality,used_in_eda,candidate_model_feature,analysis_priority
calendarDate,datetime64[us],580,100.0,0,0.0,580,False,,2023-05-26,2026-02-05,987,100.0,"[""2023-05-26T00:00:00"", ""2023-05-27T00:00:00"", ""2023-05-28T00:00:00"", ""2023-05-29T00:00:00"", ""2023-05-30T00:00:00""]",,,,,,,,,,,timestamps,,False,False,False,low
totalSteps,Int64,546,94.13793103448276,34,5.862068965517241,534,False,0.0,2023-05-26,2026-02-05,987,94.13793103448276,"[1096, 20915, 5935, 17593, 9212]",9.0,342.75,2886.0,6062.0,10369.75,17245.25,46718.0,7165.785714285715,5748.160957111392,,steps_distance,,True,True,True,high
totalDistanceMeters,Int64,546,94.13793103448276,34,5.862068965517241,535,False,0.0,2023-05-26,2026-02-05,987,94.13793103448276,"[863, 17337, 5044, 14366, 7196]",7.0,269.75,2155.0,4709.5,8235.0,13418.75,35155.0,5625.4358974358975,4480.977549855092,Meters,steps_distance,,False,True,True,high
activeKilocalories,Int64,580,100.0,0,0.0,396,False,7.758620689655173,2023-05-26,2026-02-05,987,100.0,"[199, 792, 698, 593, 351]",0.0,0.0,112.5,282.0,522.0,850.7999999999975,2544.0,352.4862068965517,319.89333522818407,Kilocalories,calories,,False,True,True,high
bmrKilocalories,Int64,580,100.0,0,0.0,97,False,0.0,2023-05-26,2026-02-05,987,100.0,"[1959, 1964, 1962, 1966, 1955]",401.0,1702.8500000000001,1940.5,1964.0,2023.0,2023.0,2045.0,1927.546551724138,215.10971512007256,Kilocalories,calories,,False,True,True,low
totalKilocalories,Int64,580,100.0,0,0.0,430,False,0.0,2023-05-26,2026-02-05,987,100.0,"[2158, 2756, 2660, 2559, 2306]",408.0,1901.0,2068.5,2250.0,2495.25,2863.45,4461.0,2280.0327586206895,407.0450836627318,Kilocalories,calories,,False,True,True,low
restingHeartRate,Int64,543,93.62068965517241,37,6.379310344827586,24,False,0.0,2023-05-26,2026-02-05,987,93.62068965517241,"[63, 54, 50, 48, 47]",39.0,41.0,43.0,45.0,47.0,49.0,86.0,45.27624309392265,3.628648700917582,bpm,heart_rate,,True,True,True,high
minHeartRate,Int64,548,94.48275862068965,32,5.517241379310345,37,False,0.0,2023-05-26,2026-02-05,987,94.48275862068965,"[55, 41, 40, 39, 38]",31.0,38.0,40.0,42.0,45.0,53.0,76.0,43.246350364963504,5.842187661663646,bpm,heart_rate,,True,True,True,high
maxHeartRate,Int64,548,94.48275862068965,32,5.517241379310345,90,False,0.0,2023-05-26,2026-02-05,987,94.48275862068965,"[126, 160, 175, 119, 120]",74.0,99.0,120.0,133.0,148.0,165.0,183.0,133.3065693430657,20.1172293910869,bpm,heart_rate,,True,True,True,high
bodyBatteryStartOfDay,Int64,548,94.48275862068965,32,5.517241379310345,64,False,0.0,2023-05-26,2026-02-05,987,94.48275862068965,"[66, 36, 22, 19, 35]",5.0,5.0,8.0,17.0,26.0,52.0,87.0,19.94890510948905,15.329445524177668,,body_battery,,False,True,True,high
bodyBatteryEndOfDay,Int64,497,85.6896551724138,83,14.310344827586208,48,False,0.0,2023-05-26,2026-02-04,986,85.83765112262522,"[36, 22, 19, 35, 24]",5.0,5.0,7.0,15.0,23.0,37.0,72.0,16.959758551307846,11.182791644926729,,body_battery,,True,True,True,high
bodyBatteryLowest,Int64,548,94.48275862068965,32,5.517241379310345,37,False,0.0,2023-05-26,2026-02-05,987,94.48275862068965,"[36, 22, 8, 18, 24]",5.0,5.0,5.0,8.0,16.0,25.0,80.0,11.474452554744525,8.571736467118562,,body_battery,,False,True,True,medium
bodyBatteryHighest,Int64,548,94.48275862068965,32,5.517241379310345,83,False,0.0,2023-05-26,2026-02-05,987,94.48275862068965,"[70, 100, 93, 80, 82]",5.0,34.0,68.0,83.0,96.0,100.0,100.0,77.66058394160584,21.34965582112102,,body_battery,,False,True,True,medium
stressAwakeDurationSeconds,Int64,580,100.0,0,0.0,362,False,0.0,2023-05-26,2026-02-05,987,100.0,"[22080, 56340, 58260, 53940, 60240]",1080.0,30069.000000000004,49680.0,54900.0,60915.0,86163.0,89820.0,55422.724137931036,15448.224791724491,Seconds,stress,,False,True,True,high
stressAsleepDurationSeconds,Int64,463,79.82758620689656,117,20.17241379310345,273,False,0.0,2023-05-27,2026-02-05,986,79.96545768566494,"[28500, 27180, 31800, 25740, 41520]",1140.0,18018.0,26250.0,30180.0,34020.0,38868.0,49260.0,29705.183585313174,6467.601501034228,Seconds,stress,,False,True,True,medium
stressTotalDurationSeconds,Int64,580,100.0,0,0.0,166,False,0.0,2023-05-26,2026-02-05,987,100.0,"[22080, 84840, 85440, 85740, 85980]",1080.0,32472.000000000004,84000.0,85680.0,86160.0,86400.0,89820.0,79135.6551724138,16770.175406429367,Seconds,stress,,True,True,True,high
abnormalHeartRateAlertsCount,Int64,56,9.655172413793103,524,90.3448275862069,10,False,0.0,2023-05-28,2023-11-04,161,35.22012578616352,"[3, 8, 1, 4, 6]",1.0,1.0,1.0,2.0,3.25,7.25,18.0,3.0357142857142856,2.8281975353042967,bpm,heart_rate,,False,True,True,medium
activeSeconds,Int64,580,100.0,0,0.0,529,False,6.379310344827586,2023-05-26,2026-02-05,987,100.0,"[1285, 6453, 1321, 5498, 3372]",0.0,0.0,1083.25,2676.0,4866.0,9953.449999999999,30402.0,3574.95,3518.0869466707413,Seconds,other,,False,True,False,low
allDayStress_ASLEEP_activityDuration,Int64,274,47.241379310344826,306,52.758620689655174,13,False,0.0,2023-05-28,2026-02-05,985,47.40484429065744,"[300, 180, 60, 240, 360]",60.0,60.0,60.0,120.0,180.0,420.0,3960.0,170.14598540145985,304.98300055060383,,stress,,False,True,True,medium
allDayStress_ASLEEP_averageStressLevel,Int64,580,100.0,0,0.0,38,False,0.0,2023-05-26,2026-02-05,987,100.0,"[-2, 6, 9, 8, 5]",-2.0,-2.0,7.0,12.0,16.0,23.0,57.0,11.024137931034483,8.657128609809366,,stress,,False,True,True,medium
allDayStress_ASLEEP_averageStressLevelIntensity,Int64,580,100.0,0,0.0,29,False,0.0,2023-05-26,2026-02-05,987,100.0,"[-2, 6, 9, 8, 11]",-2.0,-2.0,7.0,12.0,16.0,21.0,57.0,10.66551724137931,8.013924663094052,,stress,,False,True,True,medium
allDayStress_ASLEEP_highDuration,Int64,106,18.275862068965516,474,81.72413793103448,17,False,0.0,2023-05-28,2026-01-29,978,18.563922942206652,"[60, 120, 240, 180, 600]",60.0,60.0,60.0,120.0,345.0,705.0,4560.0,273.9622641509434,537.0407083005604,,stress,,False,True,True,medium
allDayStress_ASLEEP_lowDuration,Int64,456,78.62068965517241,124,21.379310344827587,134,False,0.0,2023-05-27,2026-02-05,986,78.75647668393782,"[240, 1080, 1380, 300, 1800]",60.0,180.0,780.0,1800.0,3855.0,8295.0,14580.0,2740.2631578947367,2624.322065643258,,stress,,False,True,True,medium
allDayStress_ASLEEP_maxStressLevel,Int64,463,79.82758620689656,117,20.17241379310345,73,False,0.0,2023-05-27,2026-02-05,986,79.96545768566494,"[51, 89, 54, 30, 45]",16.0,35.1,53.0,66.0,75.0,88.0,97.0,63.727861771058315,16.04105329685761,,stress,,False,True,True,medium
allDayStress_ASLEEP_mediumDuration,Int64,358,61.724137931034484,222,38.275862068965516,50,False,0.0,2023-05-27,2026-02-05,986,61.83074265975821,"[60, 240, 660, 540, 360]",60.0,60.0,120.0,300.0,720.0,2168.9999999999986,15360.0,698.5474860335196,1468.6032968085776,,stress,,False,True,True,medium
allDayStress_ASLEEP_restDuration,Int64,463,79.82758620689656,117,20.17241379310345,285,False,0.0,2023-05-27,2026-02-05,986,79.96545768566494,"[27960, 24600, 29880, 25320, 38640]",480.0,12402.0,21750.0,25920.0,30330.0,34968.0,40140.0,25358.228941684665,6838.3998134123685,,stress,,False,True,True,medium
allDayStress_ASLEEP_stressDuration,Int64,457,78.79310344827586,123,21.20689655172414,150,False,0.0,2023-05-27,2026-02-05,986,78.92918825561313,"[300, 1380, 1440, 1800, 360]",60.0,240.0,900.0,2040.0,4440.0,10020.0,28140.0,3345.0328227571117,3681.6053017134413,,stress,,False,True,True,medium
allDayStress_ASLEEP_stressIntensityCount,Int64,463,79.82758620689656,117,20.17241379310345,275,False,0.0,2023-05-27,2026-02-05,986,79.96545768566494,"[471, 433, 522, 427, 674]",19.0,288.4,419.0,486.0,548.0,630.9,767.0,477.6652267818574,104.77431022239341,,stress,,False,True,True,medium
allDayStress_ASLEEP_stressOffWristCount,Int64,405,69.82758620689656,175,30.17241379310345,69,False,0.0,2023-05-27,2026-02-03,984,70.19064124783363,"[4, 15, 5, 2, 17]",1.0,1.0,4.0,11.0,25.0,57.799999999999955,98.0,17.997530864197532,18.918729098963308,,stress,,False,True,True,medium
allDayStress_ASLEEP_stressTooActiveCount,Int64,274,47.241379310344826,306,52.758620689655174,13,False,0.0,2023-05-28,2026-02-05,985,47.40484429065744,"[5, 3, 1, 4, 6]",1.0,1.0,1.0,2.0,3.0,7.0,66.0,2.835766423357664,5.0830500091767306,,stress,,False,True,True,medium
allDayStress_ASLEEP_totalDuration,Int64,463,79.82758620689656,117,20.17241379310345,273,False,0.0,2023-05-27,2026-02-05,986,79.96545768566494,"[28500, 27180, 31800, 25740, 41520]",1140.0,18018.0,26250.0,30180.0,34020.0,38868.0,49260.0,29705.183585313174,6467.601501034228,,stress,,False,True,True,medium
allDayStress_ASLEEP_totalStressCount,Int64,463,79.82758620689656,117,20.17241379310345,273,False,0.0,2023-05-27,2026-02-05,986,79.96545768566494,"[475, 453, 530, 429, 692]",19.0,300.3,437.5,503.0,567.0,647.8,821.0,495.08639308855294,107.79335835057043,,stress,,False,True,True,medium
allDayStress_ASLEEP_totalStressIntensity,Int64,463,79.82758620689656,117,20.17241379310345,463,False,0.0,2023-05-27,2026-02-05,986,79.96545768566494,"[36558, 27751, 36026, 33586, 38653]",-17133.0,4939.7,15982.0,22400.0,30278.0,40038.799999999996,52940.0,22545.91576673866,10730.91835510697,,stress,,False,True,True,medium
allDayStress_ASLEEP_uncategorizedDuration,Int64,405,69.82758620689656,175,30.17241379310345,69,False,0.0,2023-05-27,2026-02-03,984,70.19064124783363,"[240, 900, 300, 120, 1020]",60.0,60.0,240.0,660.0,1500.0,3467.9999999999973,5880.0,1079.851851851852,1135.1237459377983,,stress,,False,True,True,medium
allDayStress_AWAKE_activityDuration,Int64,547,94.3103448275862,33,5.689655172413794,263,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[5580, 17100, 9840, 14760, 12120]",60.0,1656.0,5940.0,9000.0,12420.0,18521.999999999996,64320.0,9750.712979890312,6001.254084741768,,stress,,False,True,True,medium
allDayStress_AWAKE_averageStressLevel,Int64,580,100.0,0,0.0,71,False,0.0,2023-05-26,2026-02-05,987,100.0,"[50, 41, 58, 36, 38]",-1.0,-1.0,44.0,53.0,63.0,76.0,91.0,51.15862068965517,18.25228151431039,,stress,,False,True,True,medium
allDayStress_AWAKE_averageStressLevelIntensity,Int64,580,100.0,0,0.0,71,False,0.0,2023-05-26,2026-02-05,987,100.0,"[43, 33, 55, 30, 31]",-1.0,-1.0,40.0,52.0,61.0,75.04999999999995,91.0,48.84655172413793,18.87186788357957,,stress,,False,True,True,medium
allDayStress_AWAKE_highDuration,Int64,541,93.27586206896552,39,6.724137931034482,277,False,0.0,2023-05-26,2026-02-05,987,93.27586206896552,"[3120, 3660, 14340, 1200, 4860]",60.0,1380.0,5340.0,9000.0,13980.0,23400.0,47580.0,10281.515711645101,6812.3536963041615,,stress,,False,True,True,medium
