column,family,signal,phase,window,metric,description,unit,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_all_null,is_constant_non_null,is_mostly_missing,is_sparse_or_rare,zero_pct,min,p05,p25,median,p75,p95,max,mean,std,example_values,analysis_role,recommended_for_eda,candidate_model_feature,caution
calendarDate,identity/window metadata,metadata,metadata,not_windowed,calendarDate,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",date,datetime64[us],473,100.0,0,0.0,473,False,False,False,False,,,,,,,,,,,2023-05-27 00:00:00; 2023-05-28 00:00:00; 2023-05-29 00:00:00,identifier,False,False,
local_utc_offset_minutes,identity/window metadata,metadata,metadata,not_windowed,local_utc_offset_minutes,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",minutes,int64,473,100.0,0,0.0,7,False,False,False,False,0.0,60.0,60.0,60.0,120.0,120.0,180.0,420.0,108.32980972515857,58.138504699694835,120; 180; 300,identifier,False,False,
local_utc_offset_source,identity/window metadata,metadata,metadata,not_windowed,local_utc_offset_source,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",metadata,str,473,100.0,0,0.0,2,False,False,False,False,,,,,,,,,,,start_end_agree; start_end_disagree_using_start,identifier,False,False,
next_sleep_start_local,identity/window metadata,metadata,metadata,not_windowed,next_sleep_start_local,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",timestamp,datetime64[ms],473,100.0,0,0.0,473,False,False,False,False,,,,,,,,,,,2023-05-28 03:23:00; 2023-05-29 02:35:00; 2023-05-30 02:57:00,identifier,False,False,
next_sleep_start_utc,identity/window metadata,metadata,metadata,not_windowed,next_sleep_start_utc,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",timestamp,"datetime64[ms, UTC]",473,100.0,0,0.0,473,False,False,False,False,,,,,,,,,,,2023-05-28 01:23:00+00:00; 2023-05-29 00:35:00+00:00; 2023-05-30 00:57:00+00:00,identifier,False,False,
sleep_duration_hours,identity/window metadata,metadata,sleep,sleep_phase,sleep_duration_hours,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",hours,float64,473,100.0,0,0.0,297,False,False,False,False,0.0,3.1,5.113333333333333,7.366666666666666,8.55,9.65,11.123333333333331,13.720833333333333,8.436402396053559,1.8242990484993546,7.9; 7.55; 8.817,identifier,False,False,
sleep_end_local,identity/window metadata,metadata,sleep,sleep_phase,sleep_end_local,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",timestamp,datetime64[ms],473,100.0,0,0.0,473,False,False,False,False,,,,,,,,,,,2023-05-27 10:42:00; 2023-05-28 10:55:59; 2023-05-29 11:24:00,identifier,False,False,
sleep_end_utc,identity/window metadata,metadata,sleep,sleep_phase,sleep_end_utc,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",timestamp,"datetime64[ms, UTC]",473,100.0,0,0.0,473,False,False,False,False,,,,,,,,,,,2023-05-27 08:42:00+00:00; 2023-05-28 08:55:59+00:00; 2023-05-29 09:24:00+00:00,identifier,False,False,
sleep_start_local,identity/window metadata,metadata,sleep,sleep_phase,sleep_start_local,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",timestamp,datetime64[ms],473,100.0,0,0.0,473,False,False,False,False,,,,,,,,,,,2023-05-27 02:48:00; 2023-05-28 03:23:00; 2023-05-29 02:35:00,identifier,False,False,
sleep_start_utc,identity/window metadata,metadata,sleep,sleep_phase,sleep_start_utc,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",timestamp,"datetime64[ms, UTC]",473,100.0,0,0.0,473,False,False,False,False,,,,,,,,,,,2023-05-27 00:48:00+00:00; 2023-05-28 01:23:00+00:00; 2023-05-29 00:35:00+00:00,identifier,False,False,
wake_duration_hours,identity/window metadata,metadata,wake,wake_phase,wake_duration_hours,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",hours,float64,473,100.0,0,0.0,329,False,False,False,False,0.0,7.033333333333333,12.314444444444446,14.433333333333334,15.683333333333334,17.3,64.11999999999998,3830.3,41.53773431994362,218.72750232421092,16.68; 15.65; 15.55,identifier,False,False,
sleep_hr_coverage_fraction,foundation coverage,hr,sleep,sleep_phase,coverage_fraction,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",fraction 0..1,float64,473,100.0,0,0.0,465,False,False,False,False,0.0,0.1386861313868613,0.5984713227142774,0.6519823788546255,0.6883116883116883,0.7183770883054893,0.7587307832832129,0.8373205741626795,0.6825282716538829,0.05974756879739743,0.6477; 0.6446; 0.6578,diagnostic,True,True,
sleep_hr_total_count,foundation coverage,hr,sleep,sleep_phase,total_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,250,False,False,False,False,0.0,76.0,193.6,296.0,353.0,402.0,477.79999999999995,548.0,346.28541226215646,83.48506303011897,307; 292; 349,diagnostic,True,True,
sleep_hr_valid_count,foundation coverage,hr,sleep,sleep_phase,valid_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,256,False,False,False,False,0.0,76.0,193.2,295.0,352.0,402.0,477.79999999999995,548.0,346.08245243128965,83.48325634248963,307; 292; 348,diagnostic,True,True,
sleep_stress_coverage_fraction,foundation coverage,stress,sleep,sleep_phase,coverage_fraction,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",fraction 0..1,float64,473,100.0,0,0.0,445,False,False,False,False,0.0,0.1478102189781022,0.8668691313644674,0.9425837320574163,0.9713156029691522,0.988950276243094,0.9983626517991605,1.0,0.9548881455852698,0.06467172094828585,0.9916; 0.9559; 0.9849,diagnostic,True,True,
sleep_stress_nonvalid_count,foundation coverage,stress,sleep,sleep_phase,nonvalid_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,78,False,False,False,False,7.822410147991543,0.0,0.0,3.0,11.0,25.0,59.0,106.0,17.613107822410146,19.430485339582095,4; 20; 8,diagnostic,True,True,
sleep_stress_nonvalid_fraction,foundation coverage,stress,sleep,sleep_phase,nonvalid_fraction,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",fraction 0..1,float64,473,100.0,0,0.0,427,False,False,False,False,7.822410147991543,0.0,0.0,0.007434944237918215,0.022821576763485476,0.047839506172839504,0.1086364725617062,0.20866141732283464,0.03508405687440054,0.03827935700078157,0.008439; 0.04415; 0.01512,diagnostic,True,True,
sleep_stress_status_value_count,foundation coverage,stress,sleep,sleep_phase,status_value_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,1,False,True,False,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,diagnostic,True,False,constant among non-null values; sparse or rare-event style feature
sleep_stress_status_value_fraction,foundation coverage,stress,sleep,sleep_phase,status_value_fraction,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",fraction 0..1,float64,473,100.0,0,0.0,1,False,True,False,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,diagnostic,True,False,constant among non-null values; sparse or rare-event style feature
sleep_stress_total_count,foundation coverage,stress,sleep,sleep_phase,total_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,283,False,False,False,False,0.0,88.0,300.8,439.0,506.0,576.0,658.4,821.0,500.3911205073996,110.49336450575458,474; 453; 529,diagnostic,True,True,
sleep_stress_unmeasurable_count,foundation coverage,stress,sleep,sleep_phase,unmeasurable_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,78,False,False,False,False,7.822410147991543,0.0,0.0,3.0,11.0,25.0,59.0,106.0,17.613107822410146,19.430485339582095,4; 20; 8,diagnostic,True,True,
sleep_stress_unmeasurable_fraction,foundation coverage,stress,sleep,sleep_phase,unmeasurable_fraction,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",fraction 0..1,float64,473,100.0,0,0.0,427,False,False,False,False,7.822410147991543,0.0,0.0,0.007434944237918215,0.022821576763485476,0.047839506172839504,0.1086364725617062,0.20866141732283464,0.03508405687440054,0.03827935700078157,0.008439; 0.04415; 0.01512,diagnostic,True,True,
sleep_stress_valid_count,foundation coverage,stress,sleep,sleep_phase,valid_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,279,False,False,False,False,0.0,81.0,286.6,420.0,489.0,558.0,635.4,766.0,482.77801268498945,107.56815717643339,470; 433; 521,diagnostic,True,True,
wake_hr_coverage_fraction,foundation coverage,hr,wake,wake_phase,coverage_fraction,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",fraction 0..1,float64,473,100.0,0,0.0,468,False,False,False,False,0.0,0.0019798275156863256,0.2820885033132523,0.8376550169109357,0.8729096989966555,0.8896982310093653,0.9084858258887593,0.9297619047619048,0.7983888101919713,0.19483655553499754,0.8901; 0.771; 0.851,diagnostic,True,True,
wake_hr_total_count,foundation coverage,hr,wake,wake_phase,total_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,316,False,False,False,False,0.0,138.0,584.6,736.0,810.0,897.0,1380.6,7631.0,872.7505285412262,433.41677221875483,891; 732; 794,diagnostic,True,True,
wake_hr_valid_count,foundation coverage,hr,wake,wake_phase,valid_count,"Packet 02 baseline count, coverage, or stress status diagnostic carried into the feature library.",count,int64,473,100.0,0,0.0,316,False,False,False,False,0.0,107.0,566.0,736.0,810.0,895.0,1330.5999999999995,7538.0,863.7293868921776,417.25948589047806,891; 724; 794,diagnostic,True,True,
