column,family,signal,phase,window,metric,description,unit,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_all_null,is_constant_non_null,is_mostly_missing,is_sparse_or_rare,zero_pct,min,p05,p25,median,p75,p95,max,mean,std,example_values,analysis_role,recommended_for_eda,candidate_model_feature,caution
analysis_window_id,identity/window metadata,metadata,metadata,not_windowed,analysis_window_id,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",metadata,str,589,100.0,0,0.0,589,False,False,False,False,,,,,,,,,,,2023-05-27_0001_observed; 2023-05-28_0002_observed; 2023-05-29_0003_observed,identifier,False,False,
calendarDate,identity/window metadata,metadata,metadata,not_windowed,calendarDate,"Identifier, UTC/local semantic-window timestamp, duration, or local offset metadata.",date,datetime64[us],589,100.0,0,0.0,589,False,False,False,False,,,,,,,,,,,2023-05-27 00:00:00; 2023-05-28 00:00:00; 2023-05-29 00:00:00,identifier,False,False,
sleep_hr_histogram_entropy,distribution/shape,hr,sleep,sleep_phase,histogram_entropy,Distribution entropy over fixed maximum-heart-rate zone bins derived from the configured max HR.,bits,float64,555,94.22750424448218,34,5.772495755517826,26,False,False,False,True,95.4954954954955,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.5127951990577375,0.0037201119055388144,0.030142725958585637,-0; 0.0284; 0.03894,feature,True,True,sparse or rare-event style feature
sleep_hr_iqr,distribution/shape,hr,sleep,sleep_phase,iqr,iqr for hr in sleep.,bpm,float64,555,94.22750424448218,34,5.772495755517826,29,False,False,False,False,0.0,3.0,5.0,6.0,7.0,8.0,11.0,17.0,7.396846846846847,1.9547963567502196,5; 7; 6,feature,True,True,
sleep_hr_kurtosis,distribution/shape,hr,sleep,sleep_phase,kurtosis,kurtosis for hr in sleep.,bpm,float64,555,94.22750424448218,34,5.772495755517826,555,False,False,False,False,0.0,-1.068969681013388,-0.3992812908355724,0.4082321699888738,1.1906625882591948,2.7294469315255143,7.155679942900644,20.589743446288644,2.0725034490835617,2.7953003400633745,1.216; 8.716; 14.65,feature,True,True,
sleep_hr_mad,distribution/shape,hr,sleep,sleep_phase,mad,mad for hr in sleep.,bpm,float64,555,94.22750424448218,34,5.772495755517826,10,False,False,False,False,0.0,2.0,2.0,3.0,3.0,4.0,5.0,7.5,3.546846846846847,0.9546302354597941,3; 2; 4.5,feature,True,True,
sleep_hr_max,distribution/shape,hr,sleep,sleep_phase,max,max for hr in sleep.,bpm,float64,555,94.22750424448218,34,5.772495755517826,49,False,False,False,False,0.0,56.0,65.0,70.0,75.0,82.0,94.29999999999995,120.0,76.75855855855856,9.634551827315974,67; 90; 96,feature,True,True,
sleep_hr_mean,distribution/shape,hr,sleep,sleep_phase,mean,mean for hr in sleep.,bpm,float64,555,94.22750424448218,34,5.772495755517826,555,False,False,False,False,0.0,42.415162454873645,46.27893832943013,48.879529272766845,51.401015228426395,53.79549375233122,59.07612521000972,78.72448979591837,51.96942713034731,4.5044742886829,48.87; 49.35; 48.18,feature,True,True,
sleep_hr_median,distribution/shape,hr,sleep,sleep_phase,median,median for hr in sleep.,bpm,float64,555,94.22750424448218,34,5.772495755517826,38,False,False,False,False,0.0,42.0,45.0,48.0,50.0,53.0,59.0,77.0,50.936036036036036,4.507946792830378,48; 47; 45,feature,True,True,
sleep_hr_min,distribution/shape,hr,sleep,sleep_phase,min,min for hr in sleep.,bpm,float64,555,94.22750424448218,34,5.772495755517826,27,False,False,False,False,0.0,34.0,38.0,40.0,42.0,44.0,48.0,66.0,42.369369369369366,3.7635710661381934,41; 40; 39,feature,True,True,
