candidate_id,model_kind,feature_selection_mode,feature_selection_top_k,feature_selection_min_features,feature_selection_min_abs_spearman,feature_selection_min_mutual_info,feature_selection_correlation_threshold,feature_selection_lasso_alpha,robust_clip,calibration,target_transform,prediction_clip,alpha,l1_ratio,epsilon,n_components,fit_intercept,max_iter,tol
0,linear,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,,,,,True,500000,0.0001
1,linear,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,,,,,True,500000,0.0001
2,linear,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,,,,,True,500000,0.0001
3,linear,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,,,,,True,500000,0.0001
4,linear,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,,,,,True,500000,0.0001
5,linear,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,,,,,True,500000,0.0001
6,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.001,,,,True,500000,0.0001
7,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.001,,,,True,500000,0.0001
8,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.001,,,,True,500000,0.0001
9,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.001,,,,True,500000,0.0001
10,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.001,,,,True,500000,0.0001
11,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.001,,,,True,500000,0.0001
12,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.003,,,,True,500000,0.0001
13,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.003,,,,True,500000,0.0001
14,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.003,,,,True,500000,0.0001
15,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.003,,,,True,500000,0.0001
16,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.003,,,,True,500000,0.0001
17,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.003,,,,True,500000,0.0001
18,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.01,,,,True,500000,0.0001
19,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.01,,,,True,500000,0.0001
20,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.01,,,,True,500000,0.0001
21,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.01,,,,True,500000,0.0001
22,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.01,,,,True,500000,0.0001
23,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.01,,,,True,500000,0.0001
24,ridge,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.03,,,,True,500000,0.0001
25,ridge,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.03,,,,True,500000,0.0001
26,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.03,,,,True,500000,0.0001
27,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.03,,,,True,500000,0.0001
28,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.03,,,,True,500000,0.0001
29,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.03,,,,True,500000,0.0001
