feature,standardized_coefficient,abs_standardized_coefficient,transformed_feature_count,coefficient_available,permutation_mae_increase_mean,permutation_mae_increase_std,final_refit_selected,validation_fit_selected,coefficient_fit_source,permutation_fit_source,permutation_eval_split,baseline_valid_mae,permutation_repeats,rank
wake_frac_hr_zone2_plus_stress_high,0.7039881132300921,0.7039881132300921,1.0,True,0.21943824578349957,0.08257545166777938,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,1
pre_sleep_4h_stress_mean,0.48522702322775785,0.48522702322775785,1.0,True,0.14248077361575753,0.07793962587029707,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,2
wake_stress_slope_per_hour,0.46912941640148886,0.46912941640148886,1.0,True,0.12803612127380148,0.05832038831715125,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,3
pre_sleep_4h_hr_std,-0.3137831029754944,0.3137831029754944,1.0,True,0.10639681474506535,0.05521350372407834,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,4
wake_q4_stress_mean,0.4536902341298474,0.4536902341298474,1.0,True,0.0919917640829051,0.06380177345531012,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,5
wake_hr_std_diff,-0.2991208925707037,0.2991208925707037,1.0,True,0.05902161382559399,0.029672559858854208,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,6
wake_hr_mad,-0.3017202225234548,0.3017202225234548,1.0,True,0.052121487205157635,0.021250013405636852,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,7
pre_sleep_4h_stress_p90,0.3697177839401091,0.3697177839401091,1.0,True,0.051499103465086814,0.038285345751565336,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,8
pre_sleep_4h_stress_slope_per_hour,0.3489468954851507,0.3489468954851507,1.0,True,0.05086693126477524,0.04632694762409843,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,9
wake_q1_stress_std,-0.4677028555477866,0.4677028555477866,1.0,True,0.04429827120002474,0.04908926796678072,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,10
wake_q4_stress_p90,0.2833259977488942,0.2833259977488942,1.0,True,0.0440893227002185,0.04687447878682638,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,11
wake_hr_roughness,-0.3082609664833651,0.3082609664833651,1.0,True,0.04102745181985048,0.024174096345900137,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,12
wake_stress_frac_medium,0.19638894253146885,0.19638894253146885,1.0,True,0.04058533611520385,0.017031649152706864,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,13
wake_q4_hr_p90,-0.2278161224454462,0.2278161224454462,1.0,True,0.0403221076042211,0.019171119504084542,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,14
wake_hr_iqr,-0.22044415919225516,0.22044415919225516,1.0,True,0.03892707692612225,0.02326802295996477,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,15
wake_hr_zone2_plus_max_duration_minutes,-0.29605359403647596,0.29605359403647596,1.0,True,0.03803801449390258,0.032075640204312604,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,16
wake_stress_max_abs_jump,-0.2543138246713342,0.2543138246713342,1.0,True,0.03676848849395729,0.031726327897807854,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,17
wake_stress_active_total_minutes,0.3734447684789519,0.3734447684789519,1.0,True,0.035121175083143184,0.04546547519111747,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,18
pre_sleep_4h_stress_early_minus_late,-0.46861811329305814,0.46861811329305814,1.0,True,0.03487287279441933,0.06918651544021066,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,19
wake_stress_median,0.19666671670674754,0.19666671670674754,1.0,True,0.03191176227049235,0.02499757252987101,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,20
wake_stress_frac_resting,-0.17615418783870138,0.17615418783870138,1.0,True,0.02379208019536607,0.01645883814576046,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,21
wake_stress_skewness,-0.11499220917964055,0.11499220917964055,1.0,True,0.02187446093784029,0.0139053608066263,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,22
pre_sleep_4h_stress_high_fraction,0.2631730432896524,0.2631730432896524,1.0,True,0.021598484242151984,0.06828699890005326,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,23
wake_hr_stress_corr,-0.17640864344445925,0.17640864344445925,1.0,True,0.01721620404255777,0.024609467210718057,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,24
wake_hr_mean_abs_diff,-0.2260952805365716,0.2260952805365716,1.0,True,0.016618638768646755,0.025493058849430476,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,25
wake_q4_stress_high_fraction,0.2000902370450163,0.2000902370450163,1.0,True,0.016517897097636604,0.04808831473742463,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,26
wake_hr_p75,-0.1962459585426888,0.1962459585426888,1.0,True,0.013546120156312024,0.02070786936232164,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,27
wake_hr_range,-0.15560069936827678,0.15560069936827678,1.0,True,0.012998264209748367,0.022004217145675718,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,28
wake_q2_stress_mean,-0.1844894359516852,0.1844894359516852,1.0,True,0.01197728136763061,0.027009535664927326,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,29
wake_stress_frac_low,-0.15212933580034999,0.15212933580034999,1.0,True,0.011434778055455208,0.018681299961176148,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,30
wake_hr_frac_zone3,0.17605416912226535,0.17605416912226535,1.0,True,0.010898348359623089,0.008899122811445032,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,31
wake_stress_mean,0.1359057459525905,0.1359057459525905,1.0,True,0.010775078904903613,0.01756409026456732,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,32
wake_q1_hr_p90,,,,,0.00924352628634031,0.007355150433645114,False,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,33
pre_sleep_4h_hr_p90,-0.10819213332328158,0.10819213332328158,1.0,True,0.00846675863315376,0.017830550631715483,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,34
wake_hr_std,-0.07557755637574556,0.07557755637574556,1.0,True,0.006626429827654867,0.026928581521754445,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,35
wake_q2_stress_high_fraction,-0.10104578090623358,0.10104578090623358,1.0,True,0.006011874547341911,0.010185222178966913,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,36
wake_q1_hr_std,0.040243462293829094,0.040243462293829094,1.0,True,0.005183695177523706,0.009630392155965114,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,37
wake_stress_high_fragmentation_index,-0.21167277155542635,0.21167277155542635,1.0,True,0.004892286889825748,0.010923997772208198,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,38
wake_stress_hr_r2,-0.16866130947943417,0.16866130947943417,1.0,True,0.004729622627925334,0.0287471638958729,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,39
wake_stress_active_mean_duration_minutes,0.03412489069356164,0.03412489069356164,1.0,True,0.004122196380347632,0.010572948543676098,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,40
wake_q4_stress_std,-0.10828491681579896,0.10828491681579896,1.0,True,0.00409661344386798,0.005392689494220515,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,41
pre_sleep_4h_stress_std,0.01565641310339472,0.01565641310339472,1.0,True,0.003885999502869186,0.006564884673190896,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,42
wake_hr_skewness,-0.03207221281150025,0.03207221281150025,1.0,True,0.00356032391734491,0.010738701125895265,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,43
wake_stress_p10,0.14174953094170142,0.14174953094170142,1.0,True,0.0032906482588578533,0.01617138497108404,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,44
wake_q4_hr_mean,0.1264672260053445,0.1264672260053445,1.0,True,0.002788872243038032,0.011376481429643374,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,45
wake_q2_hr_std,-0.008200891232275093,0.008200891232275093,1.0,True,0.0018271282393325984,0.0022893103900295288,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,46
wake_q2_hr_p90,,,,,0.0017889351879417426,0.005085157785841444,False,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,47
wake_q3_stress_high_fraction,0.023522915885358698,0.023522915885358698,1.0,True,0.0009948402380888233,0.004049086514993899,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,48
wake_stress_p75,0.12172387392876942,0.12172387392876942,1.0,True,0.00046031635734422593,0.00781439513465603,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,49
wake_stress_frac_high,-0.040261713908037164,0.040261713908037164,1.0,True,0.00023332374454714254,0.0016685780924995033,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,50
wake_stress_hr_slope,0.1565068224548582,0.1565068224548582,1.0,True,-1.807429909304048e-05,0.018403449605419793,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,51
wake_hr_median,-0.01655258350484052,0.01655258350484052,1.0,True,-0.00029900616719551464,0.0012256691970776769,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,52
pre_sleep_4h_hr_mean,0.05653776573760968,0.05653776573760968,1.0,True,-0.0003449269416491596,0.003930834302916267,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,53
wake_q2_stress_p90,-0.04674380332855393,0.04674380332855393,1.0,True,-0.0005132076733000979,0.007623702542634503,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,54
wake_hr_max,-0.07887572383298325,0.07887572383298325,1.0,True,-0.0005835311586521285,0.003094421748442106,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,55
pre_sleep_4h_hr_slope_per_hour,0.010467237610719153,0.010467237610719153,1.0,True,-0.0007510702852248308,0.005023415925228544,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,56
wake_frac_hr_below_zone1_stress_high,0.051683357525190966,0.051683357525190966,1.0,True,-0.000814427513400684,0.0027837876009300126,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,57
wake_hr_zone2_plus_mean_duration_minutes,-0.0493439943404829,0.0493439943404829,1.0,True,-0.0009961049648917531,0.0028245980412313046,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,58
wake_stress_trend_r2,,,,,-0.0011437921222858805,0.0011147771850193342,False,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,59
wake_hr_p10,-0.08179397191912674,0.08179397191912674,1.0,True,-0.0011781100607103135,0.0026530952303692647,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,60
wake_hr_median_abs_diff,,,,,-0.0013673029453340035,0.011906966316628168,False,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,61
wake_q3_stress_std,-0.01340616683058015,0.01340616683058015,1.0,True,-0.001513555713470538,0.0063288961217532165,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,62
wake_stress_high_total_minutes,0.09494816725795185,0.09494816725795185,1.0,True,-0.001583193445106712,0.010036692969131455,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,63
wake_hr_mean,-0.10277220722270329,0.10277220722270329,1.0,True,-0.0017220936383657737,0.010508735011732944,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,64
pre_sleep_4h_hr_early_minus_late,-0.17019210661104664,0.17019210661104664,1.0,True,-0.00202222629814095,0.02605602947501043,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,65
wake_q3_stress_p90,0.013546153743494226,0.013546153743494226,1.0,True,-0.0022648564289232454,0.0014209060676333926,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,66
wake_stress_p90,0.10236449241746043,0.10236449241746043,1.0,True,-0.0026218048457912423,0.012498463654657802,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,67
wake_q2_stress_std,0.028493669287200166,0.028493669287200166,1.0,True,-0.0026336943142311496,0.009997336297073042,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,68
wake_stress_std_diff,-0.16463372023561226,0.16463372023561226,1.0,True,-0.002751609637154395,0.021637470607933324,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,69
