calendarDate,quality_score,day_quality_label_strict,day_quality_label_loose,corrupted_stress_only_day,has_steps,has_hr,has_stress_duration,has_bodybattery_start,has_bodybattery_end,has_bodybattery_any,bodybattery_start_without_end,has_sleep,full_day_stress,stressTotalDurationSeconds,totalSteps,minHeartRate,maxHeartRate,restingHeartRate,bodyBatteryStartOfDay,bodyBatteryEndOfDay,suspicion_reasons
2024-02-26,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-02-27,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-02-28,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-02-29,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-03-01,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-03-02,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-03-03,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-03-04,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-03-06,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2024-03-07,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
2025-12-05,1,bad,bad,True,False,False,True,False,False,False,False,False,True,86400,,,,,,,"corrupted_stress_only_day,has_steps,has_hr,has_bodybattery_end,has_sleep"
